Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,2003,NBA,1,1,CLE,LeBron James\jamesle01,18.182,F-G,us,,2004,2019,1198,38.6,27.2,7.4,7.2,1.6,0.8,.504,.548,.343,.736,226.6,.235
2,1997,NBA,1,1,SAS,Tim Duncan\duncati01,21.066,F-C,vi,Wake Forest,1998,2016,1392,34.0,19.0,10.8,3.0,0.7,2.2,.506,.509,.179,.696,206.4,.209
3,1998,NBA,1,9,MIL,Dirk Nowitzki\nowitdi01,20.010,F,de,,1999,2019,1522,33.8,20.7,7.5,2.4,0.8,0.8,.471,.496,.380,.879,206.3,.193
4,1995,NBA,1,5,MIN,Kevin Garnett\garneke01,19.044,F-C,us,,1996,2016,1462,34.5,17.8,10.0,3.7,1.3,1.4,.497,.504,.275,.789,191.4,.182
5,1992,NBA,1,1,ORL,Shaquille O'Neal\onealsh01,20.115,C,us,LSU,1993,2011,1207,34.7,23.7,10.9,2.5,0.6,2.3,.582,.583,.045,.527,181.7,.208
6,1987,NBA,1,1,SAS,David Robinson\robinda01,21.325,C,us,United States Naval Academy,1990,2003,987,34.7,21.1,10.6,2.5,1.4,3.0,.518,.520,.250,.736,178.7,.250
7,1987,NBA,1,11,IND,Reggie Miller\millere01,21.307,G-F,us,UCLA,1988,2005,1389,34.3,18.2,3.0,3.0,1.1,0.2,.471,.516,.395,.888,174.4,.176
8,1996,NBA,1,13,CHH,Kobe Bryant\bryanko01,17.312,G-F,us,,1997,2016,1346,36.1,25.0,5.2,4.7,1.4,0.5,.447,.479,.329,.837,172.7,.170
9,2005,NBA,1,4,NOH,Chris Paul\paulch01,20.058,G,us,Wake Forest,2006,2019,950,35.1,18.5,4.5,9.7,2.2,0.1,.469,.504,.370,.868,171.5,.247
10,1998,NBA,1,10,BOS,Paul Pierce\piercpa01,20.259,F-G,us,Kansas,1999,2017,1343,34.2,19.7,5.6,3.5,1.3,0.6,.445,.478,.368,.806,150.0,.157
11,1990,NBA,1,2,SEA,Gary Payton\paytoga01,21.344,G,us,Oregon State,1991,2007,1335,35.3,16.3,3.9,6.7,1.8,0.2,.466,.501,.317,.729,145.5,.148
12,1996,NBA,1,5,MIN,Ray Allen\allenra02,20.347,G,us,UConn,1997,2014,1300,35.6,18.9,4.1,3.4,1.1,0.2,.452,.485,.400,.894,145.1,.150
13,2001,NBA,1,3,ATL,Pau Gasol\gasolpa01,20.361,F-C,es,,2002,2019,1226,33.4,17.0,9.2,3.2,0.5,1.6,.507,.512,.368,.753,144.1,.169
14,2007,NBA,1,2,SEA,Kevin Durant\duranke01,18.276,F-G,us,Texas,2008,2019,849,36.9,27.0,7.1,4.1,1.1,1.1,.493,.532,.381,.883,141.7,.217
15,1994,NBA,1,2,DAL,Jason Kidd\kiddja01,21.103,G,us,Cal,1995,2013,1391,36.0,12.6,6.3,8.7,1.9,0.3,.400,.429,.349,.785,138.6,.133
16,1996,NBA,1,15,PHO,Steve Nash\nashst01,22.145,G,za,Santa Clara University,1997,2014,1217,31.3,14.3,3.0,8.5,0.7,0.1,.490,.518,.428,.904,129.7,.164
17,2004,NBA,1,1,ORL,Dwight Howard\howardw01,18.203,C,us,,2005,2019,1044,34.5,17.4,12.6,1.5,0.9,2.0,.583,.586,.095,.567,128.9,.172
18,1998,NBA,1,5,GSW,Vince Carter\cartevi01,21.154,G-F,us,UNC,1999,2019,1481,30.7,17.2,4.4,3.2,1.0,0.6,.437,.462,.374,.798,125.5,.132
19,1987,NBA,1,5,SEA,Scottie Pippen\pippesc01,21.275,F-G,us,University of Central Arkansas,1988,2004,1178,34.9,16.1,6.4,5.2,2.0,0.8,.473,.507,.326,.704,125.1,.146
20,1999,NBA,1,9,PHO,Shawn Marion\mariosh01,21.059,F,us,UNLV,2000,2015,1163,34.5,15.2,8.7,1.9,1.5,1.1,.484,.513,.331,.810,124.9,.150
21,2009,NBA,1,3,OKC,James Harden\hardeja01,19.308,G,us,Arizona State,2010,2019,765,34.1,24.3,5.2,6.2,1.6,0.5,.443,.506,.365,.857,121.9,.224
22,1997,NBA,1,3,BOS,Chauncey Billups\billuch01,20.278,G,us,Colorado,1998,2014,1043,31.6,15.2,2.9,5.4,1.0,0.2,.415,.435,.387,.894,120.8,.176
23,2003,NBA,1,5,MIA,Dwyane Wade\wadedw01,21.165,G,us,Marquette,2004,2019,1054,33.9,22.0,4.7,5.4,1.5,0.8,.480,.502,.293,.765,120.7,.162
24,1987,NBA,1,10,CHI,Horace Grant\grantho01,21.358,F-C,us,Clemson,1988,2004,1165,33.2,11.2,8.1,2.2,1.0,1.0,.509,.511,.063,.692,118.2,.147
25,1991,NBA,1,4,DEN,Dikembe Mutombo\mutomdi01,25.007,C,cd,Georgetown,1992,2009,1196,30.8,9.8,10.3,1.0,0.4,2.8,.518,.518,.000,.684,117.0,.153
26,2001,NBA,1,28,SAS,Tony Parker\parketo01,19.046,G,be,,2002,2019,1254,30.5,15.5,2.7,5.6,0.8,0.1,.491,.510,.324,.751,111.3,.140
27,1999,NBA,1,1,CHI,Elton Brand\brandel01,20.116,F,us,Duke,2000,2016,1058,33.0,15.9,8.5,2.1,0.9,1.7,.500,.501,.095,.736,109.6,.151
28,1986,NBA,2,46,PHO,Jeff Hornacek\hornaje01,23.051,G,us,Iowa State,1987,2000,1077,31.5,14.5,3.4,4.9,1.4,0.2,.496,.515,.403,.877,108.9,.154
29,2006,NBA,1,2,CHI,LaMarcus Aldridge\aldrila01,20.349,F-C,us,Texas,2007,2019,950,34.5,19.6,8.4,2.0,0.7,1.1,.491,.497,.283,.810,107.0,.157
30,1999,NBA,2,57,SAS,Manu Ginóbili\ginobma01,21.342,G,ar,,2003,2018,1057,25.4,13.3,3.5,3.8,1.3,0.3,.447,.498,.369,.827,106.4,.190
31,2003,NBA,1,4,TOR,Chris Bosh\boshch01,19.098,F-C,us,Georgia Tech,2004,2016,893,35.8,19.2,8.5,2.0,0.8,1.0,.494,.506,.335,.799,106.0,.159
32,1995,NBA,1,4,WSB,Rasheed Wallace\wallara01,20.289,F-C,us,UNC,1996,2013,1109,32.7,14.4,6.7,1.8,1.0,1.3,.467,.508,.336,.721,105.1,.139
33,2009,NBA,1,7,GSW,Stephen Curry\curryst01,21.108,G,us,Davidson,2010,2019,694,34.4,23.5,4.5,6.6,1.7,0.2,.477,.514,.436,.905,102.9,.207
34,1999,NBA,1,10,ATL,Jason Terry\terryja01,21.293,G,us,Arizona,2000,2018,1410,29.8,13.4,2.3,3.8,1.1,0.2,.444,.484,.380,.845,102.0,.116
35,2001,NBA,1,2,LAC,Tyson Chandler\chandty01,18.273,C,us,,2002,2019,1134,27.7,8.4,9.2,0.8,0.6,1.2,.596,.597,.000,.645,101.5,.155
36,2003,NBA,1,3,DEN,Carmelo Anthony\anthoca01,19.032,F,us,Syracuse,2004,2019,1064,35.8,24.0,6.5,3.0,1.0,0.5,.449,.473,.347,.811,101.0,.127
37,1999,NBA,1,8,CLE,Andre Miller\millean02,23.108,G,us,Utah,2000,2016,1304,30.9,12.5,3.7,6.5,1.2,0.2,.461,.478,.217,.807,100.8,.120
38,1994,NBA,1,10,LAL,Eddie Jones\jonesed02,22.258,G-F,us,Temple,1995,2008,954,34.4,14.8,4.0,2.9,1.7,0.6,.437,.474,.373,.809,100.6,.147
39,1994,NBA,1,3,DET,Grant Hill\hillgr01,21.272,F-G,us,Duke,1995,2013,1026,33.9,16.7,6.0,4.1,1.2,0.6,.483,.493,.314,.769,99.9,.138
40,1996,NBA,1,1,PHI,Allen Iverson\iversal01,21.025,G,us,Georgetown,1997,2010,914,41.1,26.7,3.7,6.2,2.2,0.2,.425,.448,.313,.780,99.0,.126
41,1997,NBA,1,9,TOR,Tracy McGrady\mcgratr01,18.037,F-G,us,,1998,2012,938,32.7,19.6,5.6,4.4,1.2,0.9,.435,.461,.338,.746,97.3,.152
42,2008,NBA,1,4,SEA,Russell Westbrook\westbru01,19.231,G,us,UCLA,2009,2019,821,34.5,23.0,7.0,8.4,1.8,0.3,.434,.465,.308,.801,96.9,.164
43,1989,NBA,1,26,LAL,Vlade Divac\divacvl01,21.150,C,rs,,1990,2005,1134,29.8,11.8,8.2,3.1,1.1,1.4,.495,.506,.235,.692,96.4,.137
44,2004,NBA,1,9,PHI,Andre Iguodala\iguodan01,20.153,G-F,us,Arizona,2005,2019,1108,33.4,12.1,5.1,4.4,1.5,0.5,.466,.518,.333,.710,96.4,.125
45,1987,NBA,1,7,CLE,Kevin Johnson\johnske02,21.115,G,us,Cal,1988,2000,735,34.1,17.9,3.3,9.1,1.5,0.2,.493,.504,.305,.841,92.8,.178
46,2002,NBA,1,9,PHO,Amar'e Stoudemire\stoudam01,19.227,F-C,us,,2003,2016,846,31.0,18.9,7.8,1.2,0.8,1.2,.537,.540,.236,.761,92.5,.169
47,1987,NBA,1,18,NYK,Mark Jackson\jacksma01,22.087,G,us,St. John's,1988,2004,1296,30.2,9.6,3.8,8.0,1.2,0.1,.447,.477,.332,.770,91.8,.113
